DELHIVERY	NSE_EQ|INE148O01028	
DIVISLAB	NSE_EQ|INE361B01024	
DIXON	NSE_EQ|INE935N01020	
DLF	NSE_EQ|INE271C01023	
DMART	NSE_EQ|INE192R01011	
DRREDDY	NSE_EQ|INE089A01031	
EICHERMOT	NSE_EQ|INE066A01021	
ETERNAL	NSE_EQ|INE758T01015	
FEDERALBNK	NSE_EQ|INE171A01029	
FORCEMOT	NSE_EQ|INE451A01017	
FORTIS	NSE_EQ|INE061F01013	
GAIL	NSE_EQ|INE129A01019	
GLENMARK	NSE_EQ|INE935A01035	
GMRAIRPORT	NSE_EQ|INE776C01039	
GODFRYPHLP	NSE_EQ|INE260B01028	
GODREJCP	NSE_EQ|INE102D01028	
GODREJPROP	NSE_EQ|INE484J01027	
GRASIM	NSE_EQ|INE047A01021	
GVT&D	NSE_EQ|INE200A01026	
HAL	NSE_EQ|INE066F01020	
HAVELLS	NSE_EQ|INE176B01034	
HCLTECH	NSE_EQ|INE860A01027	
HDFCAMC	NSE_EQ|INE127D01025	
HDFCBANK	NSE_EQ|INE040A01034	
HDFCLIFE	NSE_EQ|INE795G01014	
HEROMOTOCO	NSE_EQ|INE158A01026	
HINDALCO	NSE_EQ|INE038A01020	
HINDPETRO	NSE_EQ|INE094A01015	
HINDUNILVR	NSE_EQ|INE030A01027	
HINDZINC	NSE_EQ|INE267A01025	
HYUNDAI	NSE_EQ|INE0V6F01027	
ICICIBANK	NSE_EQ|INE090A01021	
ICICIGI	NSE_EQ|INE765G01017	
ICICIPRULI	NSE_EQ|INE726G01019	
IDEA	NSE_EQ|INE669E01016	
IDFCFIRSTB	NSE_EQ|INE092T01019	
IEX	NSE_EQ|INE022Q01020	
INDHOTEL	NSE_EQ|INE053A01029	
INDIANB	NSE_EQ|INE562A01011	
INDIGO	NSE_EQ|INE646L01027	
INDUSINDBK	NSE_EQ|INE095A01012	
INDUSTOWER	NSE_EQ|INE121J01017	
INFY	NSE_EQ|INE009A01021	
INOXWIND	NSE_EQ|INE066P01011	
IOC	NSE_EQ|INE242A01010	
IREDA	NSE_EQ|INE202E01016	
IRFC	NSE_EQ|INE053F01010	
ITC	NSE_EQ|INE154A01025	
JINDALSTEL	NSE_EQ|INE749A01030	
JIOFIN	NSE_EQ|INE758E01017	
JSWENERGY	NSE_EQ|INE121E01018	
JSWSTEEL	NSE_EQ|INE019A01038	
JUBLFOOD	NSE_EQ|INE797F01020	
KALYANKJIL	NSE_EQ|INE303R01014	
KAYNES	NSE_EQ|INE918Z01012	
KEI	NSE_EQ|INE878B01027	
KFINTECH	NSE_EQ|INE138Y01010	
KOTAKBANK	NSE_EQ|INE237A01036	
KPITTECH	NSE_EQ|INE04I401011	
LAURUSLABS	NSE_EQ|INE947Q01028	
LICHSGFIN	NSE_EQ|INE115A01026	
LICI	NSE_EQ|INE0J1Y01017	
LODHA	NSE_EQ|INE670K01029	
LT	NSE_EQ|INE018A01030	
LTF	NSE_EQ|INE498L01015	
LTM	NSE_EQ|INE214T01019	
LUPIN	NSE_EQ|INE326A01037	
M&M	NSE_EQ|INE101A01026	
MANAPPURAM	NSE_EQ|INE522D01027	
MANKIND	NSE_EQ|INE634S01028	
MARICO	NSE_EQ|INE196A01026	
MARUTI	NSE_EQ|INE585B01010	
MAXHEALTH	NSE_EQ|INE027H01010	
MAZDOCK	NSE_EQ|INE249Z01020	
MCX	NSE_EQ|INE745G01043	
MFSL	NSE_EQ|INE180A01020	
MOTHERSON	NSE_EQ|INE775A01035	
MOTILALOFS	NSE_EQ|INE338I01027	
MPHASIS	NSE_EQ|INE356A01018	
MUTHOOTFIN	NSE_EQ|INE414G01012	
NAM-INDIA	NSE_EQ|INE298J01013	
NATIONALUM	NSE_EQ|INE139A01034	
NAUKRI	NSE_EQ|INE663F01032	
NBCC	NSE_EQ|INE095N01031	
NESTLEIND	NSE_EQ|INE239A01024	
NHPC	NSE_EQ|INE848E01016	
NMDC	NSE_EQ|INE584A01023	
NTPC	NSE_EQ|INE733E01010	
NYKAA	NSE_EQ|INE388Y01029	
OBEROIRLTY	NSE_EQ|INE093I01010	
OFSS	NSE_EQ|INE881D01027	
OIL	NSE_EQ|INE274J01014	
ONGC	NSE_EQ|INE213A01029	
PAGEIND	NSE_EQ|INE761H01022	
PATANJALI	NSE_EQ|INE619A01035	
PAYTM	NSE_EQ|INE982J01020	
PERSISTENT	NSE_EQ|INE262H01021	
PETRONET	NSE_EQ|INE347G01014	
PFC	NSE_EQ|INE134E01011	
PGEL	NSE_EQ|INE457L01029	
PHOENIXLTD	NSE_EQ|INE211B01039	
PIDILITIND	NSE_EQ|INE318A01026	
PIIND	NSE_EQ|INE603J01030	
PNB	NSE_EQ|INE160A01022	
PNBHOUSING	NSE_EQ|INE572E01012	
POLICYBZR	NSE_EQ|INE417T01026	
POLYCAB	NSE_EQ|INE455K01017	
POWERGRID	NSE_EQ|INE752E01010	
POWERINDIA	NSE_EQ|INE07Y701011	
PREMIERENE	NSE_EQ|INE0BS701011	
PRESTIGE	NSE_EQ|INE811K01011	
RADICO	NSE_EQ|INE944F01028	
RBLBANK	NSE_EQ|INE976G01028	
RECLTD	NSE_EQ|INE020B01018	
RELIANCE	NSE_EQ|INE002A01018	
RVNL	NSE_EQ|INE415G01027	
SAIL	NSE_EQ|INE114A01011	
SBICARD	NSE_EQ|INE018E01016	
SBILIFE	NSE_EQ|INE123W01016	
SBIN	NSE_EQ|INE062A01020	
SHREECEM	NSE_EQ|INE070A01015	
SHRIRAMFIN	NSE_EQ|INE721A01047	
SIEMENS	NSE_EQ|INE003A01024	
SOLARINDS	NSE_EQ|INE343H01029	
SONACOMS	NSE_EQ|INE073K01018	
SRF	NSE_EQ|INE647A01010	
SUNPHARMA	NSE_EQ|INE044A01036	
SUPREMEIND	NSE_EQ|INE195A01028	
SUZLON	NSE_EQ|INE040H01021	
SWIGGY	NSE_EQ|INE00H001014	
TATACONSUM	NSE_EQ|INE192A01025	
TATAELXSI	NSE_EQ|INE670A01012	
TATAPOWER	NSE_EQ|INE245A01021	
TATASTEEL	NSE_EQ|INE081A01020	
TCS	NSE_EQ|INE467B01029	
TECHM	NSE_EQ|INE669C01036	
TIINDIA	NSE_EQ|INE974X01010	
TITAN	NSE_EQ|INE280A01028	
TMPV	NSE_EQ|INE155A01022	
TORNTPHARM	NSE_EQ|INE685A01028	
TRENT	NSE_EQ|INE849A01020	
TVSMOTOR	NSE_EQ|INE494B01023	
ULTRACEMCO	NSE_EQ|INE481G01011	
UNIONBANK	NSE_EQ|INE692A01016	
UNITDSPR	NSE_EQ|INE854D01024	
UNOMINDA	NSE_EQ|INE405E01023	
UPL	NSE_EQ|INE628A01036	
VBL	NSE_EQ|INE200M01039	
VEDL	NSE_EQ|INE205A01025	
VMM	NSE_EQ|INE01EA01019	
VOLTAS	NSE_EQ|INE226A01021	
WAAREEENER	NSE_EQ|INE377N01017	
WIPRO	NSE_EQ|INE075A01022	
YESBANK	NSE_EQ|INE528G01035	
ZYDUSLIFE	NSE_EQ|INE010B01027	
		
		
		
		
		
		
